,ADIG,AVAG,AQUE,ACAL,BPLA,BGLA,BFLO,CELE,CTEL,CFAR,CINT,CGIG,CVIR,DRER,DPUL,DMEL,EMUL,EPAL,HROB,HSAP,LLUY,LANA,LGIG,MLIG,MYES,MLEI,MPHI,NGEN,OBIM,PYES,PAUS,SKOW,SMAN,SMED,SPUR,TKIT,TADH,Total
OG0004971,0,0,0,0,0,0,1,0,0,0,0,4,1,1,41,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,53
OG0004972,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
OG0004973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
OG0004974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
OG0004975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53
OG0004976,5,3,1,1,0,1,2,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,3,1,1,52
OG0004977,1,1,2,3,1,1,2,1,1,1,1,1,1,2,1,3,1,1,1,1,1,3,2,3,1,2,1,2,1,1,1,1,1,1,2,1,1,52
OG0004978,2,2,1,1,1,4,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,2,1,2,1,1,1,3,1,1,52
OG0004979,2,4,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,8,1,1,1,2,1,1,2,1,1,1,1,0,1,52
OG0004980,3,2,3,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,3,3,1,1,1,1,2,1,1,1,52
OG0004981,6,0,3,0,0,0,15,0,0,0,21,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,52
OG0004982,2,2,3,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,1,1,2,2,1,1,1,2,2,2,1,1,52
OG0004983,1,2,1,3,1,1,2,2,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,0,3,1,1,2,1,3,1,1,2,0,2,1,2,52
OG0004984,2,4,2,1,1,1,2,2,1,1,1,2,1,4,1,1,1,2,1,2,1,1,1,4,1,1,1,2,1,1,1,1,1,0,1,0,1,52
OG0004985,7,2,2,1,1,1,2,2,2,1,1,1,1,2,0,0,1,1,1,1,1,2,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,52
OG0004986,2,1,2,2,1,1,2,0,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,3,2,1,1,1,1,1,3,2,1,1,52
OG0004987,47,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52
OG0004988,2,2,1,2,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,3,1,1,1,2,2,1,1,1,1,1,2,2,1,52
OG0004989,2,4,1,2,1,3,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,52
OG0004990,2,2,1,1,3,1,3,1,2,1,3,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,2,1,1,1,1,1,2,1,1,1,52
OG0004991,2,0,1,1,1,1,4,2,1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1,2,1,1,1,3,1,2,52
OG0004992,2,2,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,2,1,2,1,1,1,1,1,1,2,1,4,3,1,52
OG0004993,3,0,1,1,1,1,3,0,2,1,0,1,5,1,4,7,0,1,0,0,1,1,2,0,2,1,2,2,3,1,1,2,0,0,2,0,0,52
OG0004994,2,0,0,3,1,1,4,0,1,1,2,2,1,2,1,5,1,1,0,3,1,2,1,3,2,1,1,1,1,1,1,2,1,1,2,0,0,52
OG0004995,2,2,1,1,1,3,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,3,1,1,0,2,4,1,1,1,1,2,2,1,1,52
OG0004996,4,1,0,3,1,2,2,1,5,1,3,3,1,1,0,0,0,2,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,0,2,0,1,52
OG0004997,2,2,1,1,1,2,2,1,2,1,3,2,2,2,1,1,1,1,1,1,1,1,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,52
OG0004998,2,4,1,1,1,1,2,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,2,1,1,1,0,2,52
OG0004999,5,0,0,0,1,0,2,0,0,4,0,6,10,0,0,0,0,4,0,0,0,1,1,0,9,0,2,1,1,4,1,0,0,0,0,0,0,52
OG0005000,1,4,0,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,5,1,1,1,1,1,1,1,1,1,4,1,1,1,52
OG0005001,1,4,0,1,3,4,1,0,1,2,1,5,8,0,0,0,0,1,0,0,1,2,1,3,2,1,2,2,0,2,1,2,0,0,0,0,1,52
OG0005002,2,4,1,1,1,1,1,2,1,1,1,1,2,3,1,1,1,3,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,52
OG0005003,1,4,1,1,1,2,2,1,1,1,1,1,2,1,3,2,1,2,1,1,1,2,1,2,1,1,1,2,3,1,1,2,1,1,1,0,1,52
OG0005004,2,4,2,3,1,1,2,0,1,1,1,2,2,1,0,2,1,1,1,1,1,2,1,3,1,1,1,2,3,1,2,1,1,2,1,0,0,52
OG0005005,2,5,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1,2,0,1,52
OG0005006,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,6,0,1,1,0,1,1,1,2,1,4,0,2,3,1,2,1,1,2,2,0,1,52
OG0005007,1,3,3,2,1,2,2,0,1,2,1,2,2,3,1,1,1,1,1,1,1,1,1,2,2,0,1,2,1,1,1,2,0,2,2,0,2,52
OG0005008,1,2,1,2,1,4,3,3,1,1,1,1,2,3,2,1,1,1,1,2,1,0,1,3,1,0,0,2,1,1,1,1,1,2,1,1,1,52
OG0005009,1,0,1,4,1,5,2,0,0,0,1,1,2,1,0,0,0,4,0,1,1,3,1,5,2,0,1,3,4,1,1,2,0,0,4,0,0,52
OG0005010,1,2,1,1,1,2,2,5,1,1,1,3,1,2,1,1,1,1,1,1,2,1,1,3,1,0,2,2,2,1,1,1,1,1,1,1,1,52
OG0005011,1,2,3,1,1,1,2,0,1,1,1,4,2,1,1,0,2,1,1,1,2,2,1,3,2,2,2,1,1,1,1,1,1,1,3,0,1,52
OG0005012,1,2,1,1,2,1,2,0,1,1,1,3,1,1,3,3,1,1,1,1,2,1,1,3,1,1,3,2,2,1,2,2,1,0,1,0,1,52
OG0005013,5,0,1,3,2,1,2,3,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,0,4,1,2,1,1,1,1,1,1,0,1,0,1,52
OG0005014,2,4,1,4,1,1,4,3,1,1,0,1,1,0,1,6,1,2,0,0,1,1,1,7,1,0,1,0,0,1,1,2,0,0,0,0,2,52
OG0005015,1,3,1,3,0,1,3,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,3,2,1,1,2,1,1,1,1,1,1,2,1,1,52
OG0005016,3,10,0,5,2,1,0,0,0,1,0,4,6,0,0,0,0,0,0,0,0,7,3,0,1,1,5,0,0,1,2,0,0,0,0,0,0,52
OG0005017,2,2,1,1,1,1,2,1,1,1,1,1,4,3,1,1,1,1,1,1,1,3,2,3,1,1,1,2,1,2,1,1,1,1,1,1,1,52
OG0005018,1,2,1,1,1,2,3,1,1,1,1,3,2,1,1,1,1,2,1,1,1,5,1,3,3,1,1,2,1,1,1,0,1,1,1,0,1,52
OG0005019,1,2,1,3,1,1,2,3,1,1,1,2,1,2,4,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,0,1,52
OG0005020,2,4,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,4,2,1,2,1,1,1,1,1,1,2,1,1,1,52
OG0005021,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,3,1,1,1,1,1,2,1,3,1,1,0,3,1,1,1,1,1,1,1,1,1,52
OG0005022,1,2,2,1,1,3,2,1,2,0,1,4,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,3,1,0,1,52
OG0005023,2,0,4,1,1,3,2,2,1,2,2,1,1,2,1,3,1,2,1,1,1,1,1,0,1,3,0,2,1,1,1,1,1,0,3,0,2,52
OG0005024,1,4,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,2,1,3,1,1,1,2,1,1,1,1,2,2,1,0,1,52
OG0005025,3,2,1,1,1,1,3,0,1,1,3,2,7,2,1,2,0,1,2,1,1,2,1,0,2,1,1,1,2,1,1,1,0,1,1,0,1,52
OG0005026,1,2,3,1,1,1,2,1,1,1,1,3,2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,2,1,2,1,1,2,52
OG0005027,3,2,1,1,1,1,1,1,2,1,1,1,1,3,2,2,1,1,1,2,2,1,1,3,1,1,0,2,2,1,1,1,1,2,2,1,1,52
OG0005028,2,2,1,1,1,1,2,2,1,1,1,3,2,1,1,1,1,2,1,1,3,2,1,3,3,0,1,2,1,1,2,1,1,1,1,0,1,52
OG0005029,2,2,2,1,1,1,2,1,1,1,3,1,1,1,1,7,1,0,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,2,1,0,1,52
OG0005030,1,5,1,1,1,3,2,0,1,2,1,3,3,5,0,0,0,1,0,1,1,2,2,3,1,1,1,1,2,1,1,1,1,1,2,0,0,52
OG0005031,1,2,1,2,1,5,2,1,1,1,1,1,10,2,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,0,1,52
OG0005032,2,1,0,2,1,2,2,1,1,1,1,5,3,0,0,0,1,2,1,1,1,3,1,5,1,1,1,1,5,1,1,1,0,0,1,0,2,52
OG0005033,2,2,1,1,1,6,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,1,2,2,1,1,1,1,1,1,2,1,1,52
OG0005034,1,2,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,2,3,1,1,1,2,1,1,1,1,2,2,1,3,1,52
OG0005035,5,2,1,4,1,1,2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,3,0,0,1,1,1,1,1,1,1,1,1,1,52
OG0005036,1,4,1,1,1,1,2,0,1,1,2,2,1,5,1,4,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,0,1,52
OG0005037,4,3,1,2,1,1,2,1,2,1,1,1,1,1,1,3,1,2,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,3,1,0,1,52
OG0005038,1,0,4,2,1,3,1,0,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,3,1,1,1,3,1,1,2,2,0,1,4,0,1,52
OG0005039,1,0,1,2,1,2,4,0,1,2,1,2,1,2,0,0,1,1,1,2,1,3,1,6,1,1,1,2,2,1,1,1,1,2,2,0,1,52
OG0005040,1,2,2,2,1,4,3,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,3,1,0,1,2,1,1,1,1,1,3,0,0,2,52
OG0005041,2,2,1,2,2,2,3,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1,2,1,1,52
OG0005042,1,2,1,1,1,4,2,1,2,1,2,2,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,3,1,1,52
OG0005043,2,4,1,2,1,1,3,0,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,3,1,1,0,2,4,1,1,1,1,2,2,0,1,52
OG0005044,1,6,1,1,1,2,2,0,2,1,1,3,1,2,1,3,0,2,0,1,1,3,1,0,4,1,1,3,1,0,2,2,0,0,1,0,1,52
OG0005045,1,4,1,0,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,3,1,3,1,1,1,2,1,1,1,3,2,1,1,1,1,52
OG0005046,1,1,1,1,1,1,2,1,1,1,1,2,2,7,1,0,1,1,0,1,1,3,1,3,1,1,1,1,4,1,1,1,1,1,3,0,1,52
OG0005047,2,0,6,4,1,1,2,0,2,2,0,3,2,0,0,0,0,2,2,1,2,2,2,0,3,0,1,3,1,2,2,1,0,0,2,0,1,52
OG0005048,1,0,1,1,2,4,1,4,1,1,1,1,2,3,1,3,1,1,1,1,2,2,1,2,1,0,1,1,1,1,1,1,2,1,2,1,1,52
OG0005049,4,2,2,1,1,1,4,3,1,1,0,1,3,1,1,2,1,1,0,1,0,5,1,2,5,1,0,0,1,2,1,1,0,0,1,0,1,52
OG0005050,1,3,1,1,1,2,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,2,1,6,1,1,0,0,1,1,2,1,1,2,1,1,1,52
OG0005051,2,4,0,3,1,2,2,0,1,1,1,5,5,2,1,1,0,1,1,1,1,1,1,3,1,0,1,2,2,1,1,1,0,0,1,0,2,52
OG0005052,1,6,2,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,0,1,52
OG0005053,2,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,3,1,1,3,2,2,1,2,1,1,2,2,1,1,52
OG0005054,1,0,1,2,0,0,1,1,1,2,3,1,2,3,1,5,0,0,0,1,1,6,1,0,3,0,1,2,1,2,2,4,0,0,1,1,2,52
OG0005055,1,2,2,2,2,1,2,0,1,0,1,1,2,1,1,0,1,1,0,1,1,1,0,3,1,2,1,11,1,2,1,2,1,0,2,0,1,52
OG0005056,1,4,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,3,2,1,1,2,1,1,1,2,2,1,1,1,1,52
OG0005057,1,2,1,2,1,1,2,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,1,3,1,1,1,2,4,1,1,1,1,1,2,1,1,52
OG0005058,1,1,0,1,1,2,2,0,1,1,1,6,4,1,0,0,0,1,0,1,0,3,1,6,3,1,1,2,1,1,1,1,0,2,4,0,1,52
OG0005059,4,2,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,0,1,2,1,1,1,1,1,1,3,3,1,52
OG0005060,1,4,0,1,1,3,2,1,1,2,1,3,5,0,0,0,0,2,0,0,1,4,1,2,6,1,1,1,2,2,0,1,1,1,1,0,0,52
OG0005061,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,7,2,1,1,1,1,1,1,1,1,2,1,1,1,52
OG0005062,1,2,1,1,1,6,2,2,2,1,2,1,1,1,1,2,0,1,1,1,1,3,1,3,1,1,2,2,1,1,1,1,0,2,1,0,1,52
OG0005063,1,2,1,1,1,1,2,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,6,5,1,1,1,1,1,2,1,1,1,1,0,1,52
OG0005064,3,0,1,4,1,2,1,0,2,1,2,5,4,1,0,1,0,1,1,1,1,1,1,9,3,0,1,1,0,1,1,1,0,0,1,0,0,52
OG0005065,4,0,0,2,2,2,1,0,0,2,2,3,8,0,0,0,0,2,0,1,1,2,0,3,9,0,1,1,0,1,1,1,0,0,2,0,1,52
OG0005066,2,2,1,1,2,5,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,0,1,1,1,1,1,1,1,2,2,1,1,52
OG0005067,1,4,2,2,1,3,2,0,1,0,2,2,2,1,0,0,0,1,1,1,1,3,1,6,1,1,1,2,2,1,1,1,1,1,2,0,1,52
OG0005068,1,3,2,1,1,2,2,1,1,1,1,5,3,1,1,0,1,1,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,1,1,0,1,52
OG0005069,3,2,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,2,1,6,1,0,0,52
OG0005070,1,0,0,2,1,1,2,0,1,2,1,1,3,1,1,6,0,1,1,1,1,5,1,3,1,2,3,1,1,1,1,1,0,1,3,0,1,52
OG0005071,1,4,1,1,1,1,2,7,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,0,1,52
OG0005072,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4,1,1,1,1,1,1,1,1,1,10,1,1,1,52
OG0005073,1,2,2,1,2,1,1,2,1,1,1,1,3,4,1,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,2,1,52
OG0005074,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,3,1,1,1,2,1,3,1,3,1,1,1,2,1,1,1,1,1,2,1,0,1,52
OG0005075,1,2,1,1,1,1,2,1,2,1,1,1,2,3,2,2,1,2,1,1,1,1,1,3,1,1,1,2,1,1,1,3,1,2,1,1,1,52
OG0005076,1,2,1,3,1,3,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,0,1,2,3,1,1,1,0,2,1,2,1,52
OG0005077,1,0,1,2,0,2,3,3,2,1,3,2,2,4,0,0,0,1,0,2,2,7,1,0,1,1,0,3,1,1,2,3,0,0,1,0,0,52
OG0005078,1,3,1,1,1,2,2,0,1,1,3,1,2,2,1,1,1,1,1,1,1,3,0,3,2,1,1,2,3,1,1,1,2,2,1,0,1,52
OG0005079,1,4,1,2,1,1,2,1,1,1,1,1,2,5,1,0,1,1,1,1,2,1,2,2,1,1,1,3,1,1,1,1,2,1,2,0,1,52
OG0005080,6,2,0,1,1,1,2,0,1,0,0,3,12,0,0,0,0,1,0,1,0,2,0,0,2,0,13,0,0,1,1,1,0,0,1,0,0,52
OG0005081,1,2,1,4,1,1,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,1,3,1,1,1,2,1,1,1,1,3,2,1,0,1,52
OG0005082,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,2,1,2,1,3,1,1,1,2,1,1,1,1,1,2,3,0,1,52
OG0005083,2,5,4,1,2,2,2,0,1,1,1,1,4,1,0,0,0,1,2,1,1,3,1,2,1,1,2,2,1,1,1,2,1,0,1,0,1,52
OG0005084,1,2,1,2,1,3,2,0,2,1,1,2,3,1,1,1,0,1,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,3,2,2,1,52
OG0005085,2,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,2,2,1,4,0,1,52
OG0005086,1,2,1,1,1,2,2,1,1,2,2,1,1,1,3,2,1,1,1,1,1,2,1,4,2,1,0,1,1,1,1,1,1,2,3,1,1,52
OG0005087,2,0,1,1,1,2,4,0,1,1,0,1,8,1,1,0,0,1,1,1,1,6,1,3,3,1,1,1,1,2,1,1,0,0,2,0,1,52
OG0005088,5,1,2,1,1,2,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,2,1,1,1,1,2,2,1,0,1,52
OG0005089,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,3,4,2,1,52
OG0005090,1,0,4,1,1,1,3,0,2,2,2,1,1,10,1,1,0,1,1,3,1,2,2,0,2,1,2,1,1,1,1,0,0,0,1,0,1,52
OG0005091,2,2,0,3,1,2,2,1,1,1,2,2,1,2,1,2,1,2,0,1,2,2,1,3,2,1,1,1,1,1,1,1,1,1,3,0,1,52
OG0005092,1,2,2,1,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,3,1,3,3,1,1,52
OG0005093,1,4,4,1,1,3,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,52
OG0005094,1,7,1,1,1,1,1,0,2,1,1,1,2,2,0,2,1,2,1,2,1,1,1,3,1,1,2,2,1,1,1,1,1,3,1,0,1,52
OG0005095,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,3,1,2,3,1,1,1,1,1,1,1,1,2,1,52
OG0005096,1,2,1,1,1,1,2,1,1,1,1,3,1,3,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,3,1,0,52
OG0005097,1,2,1,1,1,7,2,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,3,2,1,1,1,1,1,2,1,1,1,1,0,1,52
OG0005098,1,2,3,1,1,1,3,0,1,2,1,1,2,3,0,1,1,1,1,1,2,1,1,3,2,2,1,2,2,1,1,1,1,3,1,0,1,52
OG0005099,1,1,2,1,1,3,2,0,2,1,1,1,1,1,0,6,1,1,1,1,1,1,1,3,1,1,2,2,2,1,1,1,1,4,2,0,0,52
OG0005100,1,3,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,3,3,0,0,2,2,1,1,1,0,2,1,3,1,52
OG0005101,2,1,2,1,1,2,2,0,1,1,1,2,4,1,5,5,0,1,1,1,1,1,1,0,2,1,1,3,2,1,1,1,0,0,2,0,1,52
OG0005102,1,4,0,1,0,1,2,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,1,2,3,4,2,1,1,1,1,5,1,0,0,52
OG0005103,2,3,1,2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,3,2,1,1,3,1,1,1,2,2,0,1,0,1,52
OG0005104,2,2,0,0,0,0,3,0,1,0,0,0,0,1,1,1,0,1,0,1,18,2,0,0,0,3,0,2,0,0,1,1,0,2,9,0,1,52
OG0005105,1,4,0,1,2,1,1,0,1,2,1,5,1,1,0,0,1,1,1,1,3,2,1,4,2,0,4,1,1,2,1,1,1,2,1,0,1,52
OG0005106,1,4,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,1,1,3,1,1,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,52
OG0005107,1,2,1,1,1,4,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,3,1,3,1,1,1,2,2,1,1,1,2,1,1,1,1,52
OG0005108,2,2,2,1,1,1,2,1,1,1,1,2,3,1,1,2,1,1,1,1,1,2,1,4,1,1,1,2,1,1,2,1,1,2,1,1,1,52
OG0005109,2,0,1,2,1,2,0,1,1,1,2,3,4,2,1,2,0,1,1,2,1,1,1,3,3,1,2,2,3,1,1,1,0,0,2,0,1,52
OG0005110,1,6,1,1,0,1,2,1,2,1,0,2,1,2,0,5,2,1,2,1,1,2,0,6,1,1,0,1,1,0,2,0,1,2,1,0,1,52
OG0005111,2,2,2,1,1,1,3,1,1,1,2,1,1,2,1,2,1,1,1,1,1,3,1,2,1,1,2,2,1,1,2,1,1,2,2,0,1,52
OG0005112,2,2,1,1,1,1,2,2,2,1,0,2,1,5,1,2,1,1,1,1,1,2,1,0,1,1,1,3,1,1,1,3,1,2,1,2,0,52
OG0005113,1,2,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,1,2,1,1,4,1,3,1,1,2,2,2,1,1,1,2,0,2,1,1,52
OG0005114,3,0,1,1,1,3,2,0,1,2,2,2,1,1,1,4,0,1,1,1,2,3,1,0,2,1,1,7,1,1,1,1,0,0,2,0,1,52
OG0005115,4,1,1,1,1,1,0,0,4,1,1,2,1,3,0,3,1,0,1,1,1,3,1,3,3,0,1,2,0,1,1,2,1,2,3,0,1,52
OG0005116,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,3,1,2,4,1,1,1,2,2,1,1,1,1,2,1,1,52
OG0005117,3,0,0,1,1,2,1,0,1,1,2,3,2,9,1,3,0,2,1,3,2,2,1,0,3,0,0,2,1,1,1,1,0,0,1,0,1,52
OG0005118,2,2,2,5,1,2,1,1,1,1,1,2,3,3,1,1,0,1,1,1,1,1,1,3,4,1,1,1,3,1,1,0,0,0,0,1,1,52
OG0005119,6,2,1,1,1,1,2,1,1,1,1,2,3,2,1,1,1,1,1,3,1,1,1,3,1,0,1,1,1,1,1,1,1,2,1,1,1,52
OG0005120,3,1,1,1,1,4,0,0,0,1,1,4,7,2,1,0,1,1,0,1,2,1,2,3,2,1,1,2,3,1,1,1,0,1,1,0,0,52
OG0005121,3,4,2,4,1,1,2,1,1,1,1,2,1,3,0,2,0,1,0,1,1,2,1,3,1,1,1,2,3,1,1,2,0,1,1,0,0,52
OG0005122,7,0,0,1,1,2,2,0,1,1,1,1,1,4,1,0,0,6,2,2,2,3,0,4,1,0,1,1,1,1,1,1,0,0,3,0,0,52
OG0005123,1,4,0,2,1,1,2,2,1,1,1,1,2,2,1,4,1,1,1,1,1,3,1,4,1,1,1,2,1,1,1,1,1,1,1,1,0,52
OG0005124,1,2,1,1,2,1,2,1,2,1,2,1,1,3,1,1,1,1,1,1,2,1,1,4,1,1,1,2,1,2,1,1,1,2,2,1,1,52
OG0005125,5,2,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1,1,1,52
OG0005126,2,2,1,1,1,1,2,0,2,1,1,3,2,2,1,1,1,1,1,1,1,7,1,2,1,1,1,2,3,1,1,1,1,0,1,0,1,52
OG0005127,1,8,1,4,1,1,2,0,0,1,2,2,3,3,1,2,0,1,1,1,1,1,1,0,4,1,1,1,1,1,1,2,0,0,1,0,1,52
OG0005128,1,2,1,1,1,2,2,1,1,1,1,1,1,3,1,3,0,1,1,1,1,4,1,1,1,1,3,3,3,1,1,1,0,2,2,0,1,52
OG0005129,2,0,1,4,1,1,2,1,1,1,1,3,2,1,0,2,1,1,2,1,1,1,1,3,2,0,3,2,1,1,2,1,1,1,2,1,1,52
OG0005130,1,2,1,1,1,1,2,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,2,0,1,3,3,1,1,1,1,3,1,1,2,52
OG0005131,1,4,1,1,1,1,2,1,1,1,1,3,2,1,1,2,2,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,52
OG0005132,0,2,2,4,3,4,0,0,0,3,0,2,5,0,0,0,0,0,2,0,0,4,1,8,2,0,3,2,0,2,0,1,0,2,0,0,0,52
OG0005133,0,4,1,2,1,2,0,1,2,2,0,2,1,3,1,4,0,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,3,2,1,1,1,52
OG0005134,0,2,1,1,1,0,2,3,1,1,2,1,1,1,1,7,1,1,1,1,1,1,2,6,1,0,0,1,1,1,1,1,1,2,2,1,1,52
OG0005135,0,4,0,3,3,0,0,0,5,2,0,1,9,0,0,0,0,0,4,0,2,2,4,0,5,0,3,5,0,0,0,0,0,0,0,0,0,52
OG0005136,0,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,3,1,1,3,2,1,1,1,1,1,5,2,1,1,52
OG0005137,0,2,0,1,1,0,6,0,0,5,0,7,6,0,0,0,0,0,0,0,0,6,3,0,6,0,3,0,1,5,0,0,0,0,0,0,0,52
OG0005138,0,4,3,1,1,4,0,1,1,1,2,1,1,2,1,2,1,2,1,1,1,2,2,1,3,0,1,1,1,1,1,1,1,3,1,1,1,52
